id,title,claim,rating,decade,author,url,similar,similar_id
1,"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?","""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs.""",false,,David Emery,https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,0.8149777416080267,60
1,"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?","""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs.""",false,,David Emery,https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,0.8101214350872162,161
1,"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?","""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs.""",false,,David Emery,https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,0.8061311373784439,226
1,"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?","""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs.""",false,,David Emery,https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,0.8043739265775551,128
1,"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?","""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs.""",false,,David Emery,https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,0.8024496753153406,29
1,"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?","""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs.""",false,,David Emery,https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,0.8015087220893737,72
1,"Did American TV Viewers Hear the Devil's Voice on Aug. 29, 1968?","""On August 29th, 1968, all the televisions in America were shut down. There was a murmuring on the TV that some believe was the devil's voice. The televisions were off for about 25 seconds. No one knows what the issue was and no one knows what the sound was from the TVs.""",false,,David Emery,https://www.snopes.com/fact-check/devils-voice-tv-aug-29-1968/,0.8006187742031114,160
2,Does This Video Show a 'Jersey Devil' Perched in a Tree?,"A video shows a real ""Jersey Devil"" cryptid perched in a tree.",false,,Bethania Palma,https://www.snopes.com/fact-check/video-jersey-devil-perched-in-tree/,0.8176256588298124,190
3,"Did a Power Surge in a Plugged-In Air Fryer Cause a Fire, as Claimed in Viral Facebook Post?","A plugged-in air fryer underwent a power surge and caused a kitchen fire, despite the fact that it was plugged in to a special outlet for protection.",true,,Jordan Liles,https://www.snopes.com/fact-check/air-fryer-fire-facebook/,0.8254629186087304,69
3,"Did a Power Surge in a Plugged-In Air Fryer Cause a Fire, as Claimed in Viral Facebook Post?","A plugged-in air fryer underwent a power surge and caused a kitchen fire, despite the fact that it was plugged in to a special outlet for protection.",true,,Jordan Liles,https://www.snopes.com/fact-check/air-fryer-fire-facebook/,0.8157120532182106,160
